date,labour_force,participation_rate,part_time_employment,full_time_employment,employment,employment_growth_yoy,employment_trend_growth,employment_to_population,unemployment,unemployment_rate,unemployment_rate_trend,hours_worked,hours_worked_trend,hours_worked_trend_growth,average_hours_worked,job_vacancies,private_job_vacancies,vacancies_to_lf_ratio
2004-12-31,10210.1,63.7,2755.5,6937.1,9692.6,2.5,2.6,60.5,517.5,5.1,5.1,1396540.1,1396495.4,2.8,33.1,,,
2005-01-31,10264.6,64.0,2776.2,6967.6,9743.8,3.0,2.9,60.7,520.8,5.1,5.1,1407996.2,1402455.9,3.1,33.1,,,
2005-02-28,10298.6,64.1,2761.7,7013.2,9775.0,3.3,3.1,60.8,523.6,5.1,5.1,1407715.3,1407676.9,3.4,33.1,146.2,130.7,1.4
2005-03-31,10350.8,64.3,2801.3,7015.1,9816.4,3.3,3.4,61.0,534.4,5.2,5.1,1413028.5,1412135.9,3.6,33.1,,,
2005-04-30,10387.2,64.5,2792.9,7062.3,9855.2,3.6,3.6,61.2,532.0,5.1,5.1,1416656.1,1415804.1,3.7,33.1,,,
2005-05-31,10367.9,64.3,2805.7,7033.5,9839.2,3.3,3.7,61.0,528.7,5.1,5.1,1414704.1,1418549.5,3.8,33.1,140.9,125.7,1.4
2005-06-30,10400.3,64.4,2798.0,7087.5,9885.5,3.7,3.8,61.2,514.8,5.0,5.0,1424119.9,1420154.4,3.8,33.0,,,
2005-07-31,10418.4,64.5,2821.7,7078.7,9900.4,3.8,3.7,61.3,518.0,5.0,5.0,1418468.9,1421015.4,3.6,33.0,,,
2005-08-31,10456.9,64.6,2847.8,7096.6,9944.4,4.3,3.6,61.4,512.5,4.9,5.0,1425077.0,1420987.2,3.4,33.0,139.0,123.3,1.3
2005-09-30,10450.9,64.5,2845.3,7082.8,9928.1,3.5,3.4,61.3,522.8,5.0,5.0,1419873.7,1420065.8,3.0,32.9,,,
2005-10-31,10457.3,64.5,2868.9,7063.8,9932.7,3.0,3.1,61.2,524.5,5.0,5.0,1416689.5,1418805.6,2.5,32.8,,,
2005-11-30,10458.7,64.4,2834.8,7107.5,9942.3,2.7,2.9,61.2,516.5,4.9,5.0,1416925.0,1417753.3,2.0,32.8,134.1,119.0,1.3
2005-12-31,10489.3,64.5,2858.0,7099.5,9957.5,2.7,2.6,61.2,531.8,5.1,5.1,1424303.5,1417620.0,1.5,32.7,,,
2006-01-31,10497.4,64.4,2821.3,7134.1,9955.4,2.2,2.4,61.1,542.0,5.2,5.1,1405464.1,1418870.1,1.2,32.7,,,
2006-02-28,10530.1,64.5,2855.4,7137.3,9992.7,2.2,2.3,61.2,537.4,5.1,5.0,1423793.3,1421566.9,1.0,32.7,144.3,128.7,1.4
2006-03-31,10547.8,64.5,2894.8,7139.6,10034.4,2.2,2.2,61.4,513.4,4.9,5.0,1429500.3,1425760.3,1.0,32.7,,,
2006-04-30,10566.2,64.6,2882.3,7159.2,10041.5,1.9,2.2,61.4,524.7,5.0,4.9,1425198.8,1430992.4,1.1,32.7,,,
2006-05-31,10577.0,64.6,2886.2,7183.3,10069.4,2.3,2.3,61.5,507.5,4.8,4.8,1446340.5,1437061.8,1.3,32.8,154.1,136.6,1.5
2006-06-30,10619.8,64.8,2900.3,7208.9,10109.2,2.3,2.4,61.7,510.6,4.8,4.8,1441603.3,1443165.6,1.6,32.8,,,
2006-07-31,10657.5,64.9,2915.2,7245.9,10161.2,2.6,2.5,61.9,496.3,4.7,4.7,1450345.8,1448787.3,2.0,32.8,,,
2006-08-31,10682.7,64.9,2909.7,7269.6,10179.3,2.4,2.7,61.9,503.4,4.7,4.7,1454455.0,1453457.3,2.3,32.8,154.9,138.6,1.5
2006-09-30,10723.5,65.1,2915.5,7307.6,10223.1,3.0,2.8,62.0,500.4,4.7,4.6,1457558.4,1457126.9,2.6,32.8,,,
2006-10-31,10671.8,64.7,2924.6,7270.9,10195.5,2.6,2.9,61.8,476.3,4.5,4.6,1462679.1,1459812.2,2.9,32.8,,,
2006-11-30,10713.6,64.8,2928.1,7301.8,10229.9,2.9,3.0,61.9,483.7,4.5,4.6,1456757.8,1461993.5,3.1,32.8,162.1,145.0,1.5
